,Date,Debt,Deflactor,Debt_real
0,2012-01-01,4459.58,1.2764374209234413,5692.37479360176
1,2012-02-01,4411.78,1.2738478028025473,5619.936259448222
2,2012-03-01,4417.53,1.2731167985752976,5624.031651210334
3,2012-04-01,4489.12,1.2771232297799542,5733.159433269788
4,2012-05-01,4630.68,1.2811672874635784,5932.675734711844
5,2012-06-01,4713.62,1.2752878958630929,6011.222531698192
6,2012-07-01,4827.28,1.2681681338331443,6121.802669090061
7,2012-08-01,4799.95,1.2643737117067084,6068.9305975066145
8,2012-09-01,4850.03,1.2588256432643663,6105.342134601474
9,2012-10-01,4810.31,1.2524887559036852,6024.859187411057
10,2012-11-01,4881.72,1.2440373832487244,6073.042174552963
11,2012-12-01,5015.95,1.2411838204349142,6225.715984110508
12,2013-01-01,5060.01,1.2362042385348537,6255.2058090287455
13,2013-02-01,5040.94,1.2301493419372005,6201.109023744911
14,2013-03-01,5116.3,1.2211886020292466,6247.967244562235
15,2013-04-01,5232.18,1.220382492590805,6385.260870083758
16,2013-05-01,5138.49,1.2244575066240726,6291.862653212731
17,2013-06-01,5045.41,1.2252013439008596,6181.643112530835
18,2013-07-01,5068.01,1.2256074542692548,6211.390834311126
19,2013-08-01,5109.33,1.2221304099603376,6244.267567522652
20,2013-09-01,5232.64,1.2175471974817118,6370.986167430705
21,2013-10-01,5223.56,1.211783555463535,6329.824108977104
22,2013-11-01,5316.5,1.2005916732832915,6382.94563101062
23,2013-12-01,5318.02,1.1937439465766733,6348.354182773681
24,2014-01-01,5446.39,1.1831651925978903,6443.979073313224
25,2014-02-01,5526.88,1.1801755474871896,6522.688629895998
26,2014-03-01,5627.74,1.176951166612704,6623.575158392978
27,2014-04-01,5596.8,1.179151016986652,6599.472411870894
28,2014-05-01,5674.7,1.182933873665477,6712.794852889482
29,2014-06-01,5854.7,1.1808874931235387,6913.742005990382
30,2014-07-01,5933.08,1.1776488074403981,6987.084586448477
31,2014-08-01,5947.19,1.1734339463260663,6978.634631250918
32,2014-09-01,5943.33,1.1682742520703797,6943.43941055745
33,2014-10-01,6067.15,1.1618500641326945,7049.118616602677
34,2014-11-01,6238.31,1.1525547003016872,7189.993512439019
35,2014-12-01,6490.74,1.1469338871136614,7444.449658444127
36,2015-01-01,6759.16,1.1479724718501787,7759.329612830854
37,2015-02-01,6754.42,1.1457985435118339,7739.204598267201
38,2015-03-01,6764.7,1.1411523656871543,7719.5534081638925
39,2015-04-01,6754.08,1.1441144870206674,7727.440774496549
40,2015-05-01,6855.42,1.149856604780644,7882.749965545323
41,2015-06-01,6943.68,1.1479328722320856,7970.878526260489
42,2015-07-01,7069.42,1.1462524111430932,8103.3397203832055
43,2015-08-01,7253.36,1.1438392067279093,8296.677548511947
44,2015-09-01,7299.17,1.1395697248779957,8317.91314873772
45,2015-10-01,7329.12,1.1337364790658364,8309.290703451003
46,2015-11-01,7302.01,1.1275804524740136,8233.603739769773
47,2015-12-01,7454.39,1.1230047581761016,8371.31543930035
48,2016-01-01,7798.81,1.11873865397562,8724.830202011604
49,2016-02-01,7790.88,1.1138613446720924,8677.96007297891
50,2016-03-01,7735.02,1.1122233270233122,8603.06967899186
51,2016-04-01,7618.68,1.1157566512053694,8500.592883405325
52,2016-05-01,7812.66,1.1207543992603706,8756.073064925527
53,2016-06-01,7957.45,1.1195196002932957,8908.521243353885
54,2016-07-01,8029.67,1.1166083666530535,8965.996703463024
55,2016-08-01,8245.23,1.1134700160216053,9180.81638020182
56,2016-09-01,8387.18,1.106712006510552,9282.192806765172
57,2016-10-01,8220.69,1.1000355350859103,9043.051122925393
58,2016-11-01,8380.6,1.091502464115821,9147.44555076905
59,2016-12-01,8610.83,1.086495531133058,9355.62831434647
60,2017-01-01,8785.78,1.0683317549792861,9386.127766261912
61,2017-02-01,8676.31,1.0621937789737692,9215.922506447903
62,2017-03-01,8221.1,1.0557154980546792,8679.142681057323
63,2017-04-01,8242.73,1.0544192899147773,8691.293513559232
64,2017-05-01,8216.04,1.0556820074454483,8673.525600452102
65,2017-06-01,8330.65,1.0530346180821677,8772.46284112621
66,2017-07-01,8291.16,1.0490676670543488,8697.987878374335
67,2017-08-01,8322.29,1.0439092485157095,8687.715499829805
68,2017-09-01,8489.97,1.0406529488513694,8835.11231615966
69,2017-10-01,8630.58,1.0341446739399358,8925.268340012532
70,2017-11-01,8553.32,1.023592014997956,8755.110053722317
71,2017-12-01,8889.16,1.017574705833915,9045.384372110604
72,2018-01-01,8874.19,1.0121969766046772,8982.42828781546
73,2018-02-01,8892.15,1.0083554909301686,8966.4482786747
74,2018-03-01,8926.41,1.0051043522968557,8971.973541386176
75,2018-04-01,9023.5,1.0085235666752006,9100.412403893673
76,2018-05-01,9157.48,1.0101614139782151,9250.532945277226
77,2018-06-01,9195.77,1.0062744742473906,9253.468622049928
78,2018-07-01,8899.29,1.000909836049157,8907.386894853904
79,2018-08-01,9062.83,0.995104087887593,9018.459180830314
80,2018-09-01,9016.61,0.9909133248114788,8934.678993628428
81,2018-10-01,9113.87,0.9858044164037855,8984.493296529969
82,2018-11-01,9115.56,0.9774884411991829,8910.354535057622
83,2018-12-01,9236.07,0.9706853038245001,8965.31741409435
84,2019-01-01,9198.33,0.9698568491290686,8921.063351049384
85,2019-02-01,9320.13,0.9701297063417379,9041.73497996682
86,2019-03-01,9385.56,0.9664076694112644,9070.277165719586
87,2019-04-01,9259.18,0.965894273212854,8943.388936646994
88,2019-05-01,9424.77,0.9686824949386339,9129.609717822788
89,2019-06-01,9534.89,0.968063582416093,9230.379771343381
90,2019-07-01,9534.24,0.964441058184729,9195.21251458717
91,2019-08-01,9892.09,0.9645992090286486,9541.902189640205
92,2019-09-01,9870.63,0.9620750033672626,9496.286390487003
93,2019-10-01,9890.06,0.9569103279331694,9463.900557878722
94,2019-11-01,10120.09,0.9492529379378429,9606.525164695386
95,2019-12-01,10191.62,0.9439839900315291,9620.726112485134
96,2020-01-01,10313.29,0.9394346482286959,9688.661963230528
97,2020-02-01,10514.53,0.9355499630457765,9836.868152943709
98,2020-03-01,11167.64,0.9359965555326757,10452.87257342893
99,2020-04-01,11351.97,0.9455817691834901,10734.215876317903
100,2020-05-01,11279.11,0.9419566323166481,10624.432471129028
101,2020-06-01,11616.74,0.9368295813308601,10882.905670629456
102,2020-07-01,11657.5,0.9307173969695841,10849.838055172926
103,2020-08-01,11594.63,0.9270675924981691,10749.005720007046
104,2020-09-01,11718.27,0.9249495902473315,10838.809034907597
105,2020-10-01,11570.69,0.9193373416441429,10637.367385588468
106,2020-11-01,11421.56,0.9186448151686633,10492.356875137797
107,2020-12-01,11583.31,0.915155896807021,10600.534451043733
108,2021-01-01,11883.0,0.9073586788857636,10782.143181199528
109,2021-02-01,11924.69,0.9016563427015427,10751.97237324966
110,2021-03-01,11732.53,0.8942624123622837,10491.960580912864
111,2021-04-01,11689.62,0.8913450396648542,10419.484802567074
112,2021-05-01,11769.96,0.8895293500209039,10469.724868572037
113,2021-06-01,11670.57,0.8848148082606311,10326.293156842274
114,2021-07-01,11769.22,0.8796467338716771,10352.755933217219
115,2021-08-01,11767.9,0.8779708338089008,10331.872975179764
116,2021-09-01,11828.15,0.8725927347928901,10321.157756040522
117,2021-10-01,11940.98,0.865343844376563,10333.053538823651
118,2021-11-01,12246.5,0.855549091406865,10477.481947914172
119,2021-12-01,12169.1,0.8524567804412316,10373.631806867392
120,2022-01-01,12263.05,0.8474432636734971,10392.239114591277
121,2022-02-01,12319.31,0.8404703271950984,10354.014506517848
122,2022-03-01,12115.51,0.8322306277515624,10082.898492830333
123,2022-04-01,11978.16,0.8277528992045294,9914.956667135726
124,2022-05-01,12031.26,0.826296045347127,9941.382558543075
125,2022-06-01,12034.77,0.8193766182688211,9861.00914424306
126,2022-07-01,12239.31,0.8133519862055504,9954.867098285455
127,2022-08-01,12128.26,0.8077348691065644,9796.418503590381
128,2022-09-01,12021.73,0.802755055349961,9650.504531552288
129,2022-10-01,12022.27,0.7982374916185063,9596.62664836042
130,2022-11-01,12249.88,0.7936696905481877,9722.358468852433
131,2022-12-01,12620.48,0.7906513385727162,9978.399405430193
132,2023-01-01,12661.0,0.785323867562983,9942.985487214928
133,2023-02-01,12509.34,0.7809693391437452,9769.410992924419
134,2023-03-01,12571.5,0.7788829261073767,9791.726705558887
135,2023-04-01,12508.97,0.7790406892952019,9744.996611173001
136,2023-05-01,12587.09,0.7807376409231441,9827.214952687298
137,2023-06-01,12593.46,0.7799460277348808,9822.21910243811
138,2023-07-01,12682.21,0.7762046696472926,9843.990623447591
139,2023-08-01,12629.67,0.7719325330966075,9749.253155274231
140,2023-09-01,12746.25,0.7685213648939441,9795.765447279435
141,2023-10-01,12912.09,0.7656440214686583,9886.064513165247
142,2023-11-01,13168.75,0.7607744684088402,10018.448780858915
143,2023-12-01,13321.51,0.7554410642653714,10063.615692021787
144,2024-01-01,13605.45,0.7487551944891617,10187.151360862566
145,2024-02-01,13989.93,0.7480494610303633,10465.15959635251
146,2024-03-01,13812.71,0.7459068362361542,10302.994815947488
147,2024-04-01,13645.34,0.7444020962363029,10157.619699857074
148,2024-05-01,13926.31,0.7457844533772849,10386.025490912616
149,2024-06-01,14544.87,0.7429751697698264,10806.477257530056
150,2024-07-01,14980.93,0.7352778982816556,11015.146724704602
151,2024-08-01,14928.39,0.7352238388977524,10975.708204362818
